"Tabela 1378 - População residente, por situação do domicílio, sexo e idade, segundo a condição no domicílio e compartilhamento da responsabilidade pelo domicílio"
"Variável - População residente (Pessoas)"
"Unidade da Federação e Município";"Idade";"Condição no domicílio e o compartilhamento da responsabilidade pelo domicílio";"Ano x Situação do domicílio x Sexo"
"Unidade da Federação e Município";"Idade";"Condição no domicílio e o compartilhamento da responsabilidade pelo domicílio";"2010"
"Unidade da Federação e Município";"Idade";"Condição no domicílio e o compartilhamento da responsabilidade pelo domicílio";"Total";;;"Urbana";;;"Rural"
"Unidade da Federação e Município";"Idade";"Condição no domicílio e o compartilhamento da responsabilidade pelo domicílio";"Total";"Homens";"Mulheres";"Total";"Homens";"Mulheres";"Total";"Homens";"Mulheres"
"Mato Grosso";"Total";"Total";"3035122";"1549536";"1485586";"2482801";"1243777";"1239024";"552321";"305759";"246562"
"Mato Grosso";"15 a 17 anos";"Total";"174505";"88406";"86099";"142790";"71366";"71424";"31715";"17040";"14675"
"Mato Grosso";"18 ou 19 anos";"Total";"109877";"55898";"53979";"92007";"46118";"45889";"17870";"9780";"8090"
"Mato Grosso";"20 a 24 anos";"Total";"286026";"145628";"140398";"242197";"121691";"120506";"43829";"23937";"19892"
"Mato Grosso";"25 a 29 anos";"Total";"284167";"144201";"139966";"238926";"119678";"119248";"45241";"24523";"20718"
"Mato Grosso";"30 a 34 anos";"Total";"265670";"133907";"131763";"221766";"109708";"112058";"43904";"24199";"19705"
"Mato Grosso";"35 a 39 anos";"Total";"235485";"119062";"116423";"194978";"96338";"98640";"40507";"22724";"17783"
"Mato Grosso";"40 a 44 anos";"Total";"213348";"109049";"104299";"175330";"87199";"88131";"38018";"21850";"16168"
"Acorizal (MT)";"Total";"Total";"5516";"2900";"2616";"2927";"1482";"1445";"2589";"1418";"1171"
"Acorizal (MT)";"15 a 17 anos";"Total";"351";"188";"163";"192";"104";"88";"159";"84";"75"
"Acorizal (MT)";"18 ou 19 anos";"Total";"179";"93";"86";"104";"50";"54";"75";"43";"32"
"Acorizal (MT)";"20 a 24 anos";"Total";"430";"217";"213";"226";"110";"116";"204";"107";"97"
"Acorizal (MT)";"25 a 29 anos";"Total";"429";"218";"211";"249";"119";"130";"180";"99";"81"
"Acorizal (MT)";"30 a 34 anos";"Total";"403";"209";"194";"243";"118";"125";"160";"91";"69"
"Acorizal (MT)";"35 a 39 anos";"Total";"327";"183";"144";"180";"98";"82";"147";"85";"62"
"Acorizal (MT)";"40 a 44 anos";"Total";"325";"175";"150";"168";"89";"79";"157";"86";"71"
"Água Boa (MT)";"Total";"Total";"20856";"10932";"9924";"16759";"8514";"8245";"4097";"2418";"1679"
"Água Boa (MT)";"15 a 17 anos";"Total";"1222";"580";"642";"1022";"483";"539";"200";"97";"103"
"Água Boa (MT)";"18 ou 19 anos";"Total";"735";"393";"342";"604";"308";"296";"131";"85";"46"
"Água Boa (MT)";"20 a 24 anos";"Total";"1883";"1021";"862";"1561";"802";"759";"322";"219";"103"
"Água Boa (MT)";"25 a 29 anos";"Total";"1967";"1035";"932";"1579";"790";"789";"388";"245";"143"
"Água Boa (MT)";"30 a 34 anos";"Total";"1956";"992";"964";"1598";"784";"814";"358";"208";"150"
"Água Boa (MT)";"35 a 39 anos";"Total";"1684";"871";"813";"1382";"692";"690";"302";"179";"123"
"Água Boa (MT)";"40 a 44 anos";"Total";"1543";"797";"746";"1242";"606";"636";"301";"191";"110"
"Alta Floresta (MT)";"Total";"Total";"49164";"24989";"24175";"42718";"21502";"21216";"6446";"3487";"2959"
"Alta Floresta (MT)";"15 a 17 anos";"Total";"3036";"1514";"1522";"2621";"1296";"1325";"415";"218";"197"
"Alta Floresta (MT)";"18 ou 19 anos";"Total";"1800";"910";"890";"1593";"798";"795";"207";"112";"95"
"Alta Floresta (MT)";"20 a 24 anos";"Total";"4300";"2155";"2145";"3853";"1925";"1928";"447";"230";"217"
"Alta Floresta (MT)";"25 a 29 anos";"Total";"4235";"2089";"2146";"3792";"1873";"1919";"443";"216";"227"
"Alta Floresta (MT)";"30 a 34 anos";"Total";"4007";"1930";"2077";"3527";"1678";"1849";"480";"252";"228"
"Alta Floresta (MT)";"35 a 39 anos";"Total";"3856";"1930";"1926";"3372";"1673";"1699";"484";"257";"227"
"Alta Floresta (MT)";"40 a 44 anos";"Total";"3702";"1915";"1787";"3189";"1620";"1569";"513";"295";"218"
"Alto Araguaia (MT)";"Total";"Total";"15644";"8011";"7633";"13821";"6968";"6853";"1823";"1043";"780"
"Alto Araguaia (MT)";"15 a 17 anos";"Total";"794";"414";"380";"712";"361";"351";"82";"53";"29"
"Alto Araguaia (MT)";"18 ou 19 anos";"Total";"547";"270";"277";"517";"255";"262";"30";"15";"15"
"Alto Araguaia (MT)";"20 a 24 anos";"Total";"1347";"685";"662";"1265";"643";"622";"82";"42";"40"
"Alto Araguaia (MT)";"25 a 29 anos";"Total";"1441";"758";"683";"1309";"691";"618";"132";"67";"65"
"Alto Araguaia (MT)";"30 a 34 anos";"Total";"1374";"697";"677";"1243";"636";"607";"131";"61";"70"
"Alto Araguaia (MT)";"35 a 39 anos";"Total";"1165";"589";"576";"1038";"522";"516";"127";"67";"60"
"Alto Araguaia (MT)";"40 a 44 anos";"Total";"1068";"522";"546";"909";"426";"483";"159";"96";"63"
"Alto Boa Vista (MT)";"Total";"Total";"5247";"2732";"2515";"3178";"1606";"1572";"2069";"1126";"943"
"Alto Boa Vista (MT)";"15 a 17 anos";"Total";"322";"160";"162";"213";"94";"119";"109";"66";"43"
"Alto Boa Vista (MT)";"18 ou 19 anos";"Total";"174";"91";"83";"113";"58";"55";"61";"33";"28"
"Alto Boa Vista (MT)";"20 a 24 anos";"Total";"417";"203";"214";"256";"125";"131";"161";"78";"83"
"Alto Boa Vista (MT)";"25 a 29 anos";"Total";"453";"214";"239";"291";"130";"161";"162";"84";"78"
"Alto Boa Vista (MT)";"30 a 34 anos";"Total";"443";"237";"206";"283";"149";"134";"160";"88";"72"
"Alto Boa Vista (MT)";"35 a 39 anos";"Total";"392";"204";"188";"238";"116";"122";"154";"88";"66"
"Alto Boa Vista (MT)";"40 a 44 anos";"Total";"296";"169";"127";"191";"101";"90";"105";"68";"37"
"Alto Garças (MT)";"Total";"Total";"10350";"5438";"4912";"9455";"4883";"4572";"895";"555";"340"
"Alto Garças (MT)";"15 a 17 anos";"Total";"504";"251";"253";"475";"235";"240";"29";"16";"13"
"Alto Garças (MT)";"18 ou 19 anos";"Total";"342";"192";"150";"315";"169";"146";"27";"23";"4"
"Alto Garças (MT)";"20 a 24 anos";"Total";"821";"421";"400";"743";"379";"364";"78";"42";"36"
"Alto Garças (MT)";"25 a 29 anos";"Total";"1007";"553";"454";"900";"480";"420";"107";"73";"34"
"Alto Garças (MT)";"30 a 34 anos";"Total";"944";"506";"438";"847";"447";"400";"97";"59";"38"
"Alto Garças (MT)";"35 a 39 anos";"Total";"831";"440";"391";"747";"379";"368";"84";"61";"23"
"Alto Garças (MT)";"40 a 44 anos";"Total";"718";"384";"334";"651";"343";"308";"67";"41";"26"
"Alto Paraguai (MT)";"Total";"Total";"10066";"5413";"4653";"6383";"3274";"3109";"3683";"2139";"1544"
"Alto Paraguai (MT)";"15 a 17 anos";"Total";"580";"280";"300";"381";"175";"206";"199";"105";"94"
"Alto Paraguai (MT)";"18 ou 19 anos";"Total";"364";"172";"192";"237";"112";"125";"127";"60";"67"
"Alto Paraguai (MT)";"20 a 24 anos";"Total";"830";"438";"392";"569";"298";"271";"261";"140";"121"
"Alto Paraguai (MT)";"25 a 29 anos";"Total";"799";"419";"380";"530";"302";"228";"269";"117";"152"
"Alto Paraguai (MT)";"30 a 34 anos";"Total";"750";"415";"335";"479";"260";"219";"271";"155";"116"
"Alto Paraguai (MT)";"35 a 39 anos";"Total";"705";"379";"326";"413";"211";"202";"292";"168";"124"
"Alto Paraguai (MT)";"40 a 44 anos";"Total";"634";"347";"287";"407";"208";"199";"227";"139";"88"
"Alto Taquari (MT)";"Total";"Total";"8072";"4277";"3795";"7323";"3847";"3476";"749";"430";"319"
"Alto Taquari (MT)";"15 a 17 anos";"Total";"410";"219";"191";"368";"195";"173";"42";"24";"18"
"Alto Taquari (MT)";"18 ou 19 anos";"Total";"263";"137";"126";"241";"124";"117";"22";"13";"9"
"Alto Taquari (MT)";"20 a 24 anos";"Total";"849";"455";"394";"797";"425";"372";"52";"30";"22"
"Alto Taquari (MT)";"25 a 29 anos";"Total";"857";"449";"408";"797";"416";"381";"60";"33";"27"
"Alto Taquari (MT)";"30 a 34 anos";"Total";"823";"445";"378";"745";"408";"337";"78";"37";"41"
"Alto Taquari (MT)";"35 a 39 anos";"Total";"648";"357";"291";"573";"318";"255";"75";"39";"36"
"Alto Taquari (MT)";"40 a 44 anos";"Total";"554";"294";"260";"484";"253";"231";"70";"41";"29"
"Apiacás (MT)";"Total";"Total";"8567";"4663";"3904";"6377";"3369";"3008";"2190";"1294";"896"
"Apiacás (MT)";"15 a 17 anos";"Total";"550";"292";"258";"448";"231";"217";"102";"61";"41"
"Apiacás (MT)";"18 ou 19 anos";"Total";"298";"148";"150";"231";"112";"119";"67";"36";"31"
