transacao_id,type,descripition
40036242,CREDIT,bonus
40036227,CREDIT,bonus
40689634,CREDIT,bonus
40036102,CREDIT,admin
40035844,CREDIT,admin
40035572,CREDIT,admin
40035438,CREDIT,admin
40035106,CREDIT,admin
40035037,CREDIT,admin
40035029,CREDIT,admin
40019991,CREDIT,admin
40019948,CREDIT,admin
40019939,CREDIT,admin
40019930,CREDIT,admin
40019882,CREDIT,admin
40019838,CREDIT,admin
40019784,CREDIT,admin
40019686,CREDIT,admin
40019657,CREDIT,admin
40019531,CREDIT,admin
40019085,CREDIT,admin
40019031,CREDIT,admin
40018962,CREDIT,admin
40018918,CREDIT,admin
40017572,CREDIT,admin
40017550,CREDIT,admin
40016723,CREDIT,admin
40016490,CREDIT,admin
40016314,CREDIT,admin
40016091,CREDIT,admin
40016074,CREDIT,admin
39092203,CREDIT,admin
39075051,CREDIT,admin
39072830,CREDIT,admin
39022310,CREDIT,admin
39022165,CREDIT,admin
39020764,CREDIT,admin
39671345,CREDIT,bonus
40036359,CREDIT,bonus
40036181,CREDIT,bonus
40036131,CREDIT,bonus
40036128,CREDIT,bonus
40036348,CREDIT,bonus
47500030,CREDIT,admin
46936507,CREDIT,admin
46507025,CREDIT,admin
46456793,CREDIT,admin
46271019,CREDIT,admin
45980214,CREDIT,admin
44078893,CREDIT,admin
43943322,CREDIT,admin
43943308,CREDIT,admin
43942620,CREDIT,admin
43942597,CREDIT,admin
43927569,CREDIT,admin
43927498,CREDIT,admin
40080922,CREDIT,admin
39895972,CREDIT,admin
40036341,CREDIT,bonus
40036122,CREDIT,bonus
44104162,CREDIT,recarga
42787946,CREDIT,bonus
41814701,CREDIT,bonus
40822495,CREDIT,bonus
40036101,CREDIT,bonus
40036335,CREDIT,bonus
40036069,CREDIT,bonus
40171259,CREDIT,bonus
40618969,CREDIT,bonus
40848221,CREDIT,bonus
41137723,CREDIT,bonus
42897845,CREDIT,bonus
47959813,CREDIT,recarga
47576472,CREDIT,recarga
47501076,CREDIT,bonus
47501071,CREDIT,recarga
47465573,CREDIT,recarga
47167548,CREDIT,bonus
47126230,CREDIT,recarga
47004605,CREDIT,recarga
46893884,CREDIT,recarga
46688761,CREDIT,bonus
46687901,CREDIT,recarga
46384934,CREDIT,recarga
46197355,CREDIT,recarga
46046800,CREDIT,recarga
45824588,CREDIT,recarga
45571346,CREDIT,recarga
45375650,CREDIT,recarga
45375484,CREDIT,recarga
45295637,CREDIT,recarga
45117582,CREDIT,recarga
44947872,CREDIT,recarga
44667651,CREDIT,recarga
44423917,CREDIT,recarga
43857663,CREDIT,bonus
44101627,CREDIT,recarga
43730914,CREDIT,recarga
47886142,CREDIT,bonus
47886133,CREDIT,recarga
47730080,CREDIT,recarga
47682530,CREDIT,recarga
47617149,CREDIT,bonus
47578287,CREDIT,recarga
47489893,CREDIT,recarga
47249982,CREDIT,recarga
47246794,CREDIT,bonus
47043148,CREDIT,recarga
46681503,CREDIT,recarga
46426947,CREDIT,recarga
46046831,CREDIT,recarga
45788947,CREDIT,recarga
45631996,CREDIT,recarga
44834562,CREDIT,recarga
44589454,CREDIT,recarga
43857652,CREDIT,bonus
46734066,CREDIT,recarga
44426160,CREDIT,bonus
47954010,CREDIT,bonus
47951198,CREDIT,recarga
47339803,CREDIT,recarga
47331327,CREDIT,bonus
46266722,CREDIT,compensacao
45682746,CREDIT,recarga
47088984,CREDIT,recarga
47051817,CREDIT,recarga
46738962,CREDIT,recarga
46533478,CREDIT,bonus
46533431,CREDIT,recarga
46239170,CREDIT,recarga
45791335,CREDIT,recarga
45569199,CREDIT,recarga
45459688,CREDIT,recarga
47908419,CREDIT,recarga
47908405,CREDIT,bonus
47693341,CREDIT,recarga
47086480,CREDIT,recarga
46972781,CREDIT,compensacao
46893027,CREDIT,recarga
46722369,CREDIT,recarga
46721865,CREDIT,recarga
46575681,CREDIT,recarga
46539606,CREDIT,recarga
46504140,CREDIT,bonus
46504133,CREDIT,recarga
46119849,CREDIT,compensacao
46119839,CREDIT,recarga
46081265,CREDIT,recarga
46081257,CREDIT,compensacao
46017040,CREDIT,recarga
45987417,CREDIT,bonus
45987400,CREDIT,recarga
45981690,CREDIT,recarga
45789662,CREDIT,recarga
47847189,CREDIT,recarga
47767455,CREDIT,bonus
47767445,CREDIT,recarga
47695987,CREDIT,recarga
47372439,CREDIT,recarga
47372431,CREDIT,bonus
47208845,CREDIT,recarga
47167407,CREDIT,compensacao
47090144,CREDIT,recarga
46932336,CREDIT,compensacao
46815650,CREDIT,compensacao
46776821,CREDIT,recarga
46578050,CREDIT,compensacao
46542574,CREDIT,bonus
46542565,CREDIT,recarga
46269085,CREDIT,recarga
46235732,CREDIT,recarga
46199770,CREDIT,bonus
46080006,CREDIT,recarga
47722463,CREDIT,compensacao
47408858,CREDIT,compensacao
47245462,CREDIT,bonus
47245452,CREDIT,recarga
47009662,CREDIT,recarga
46771025,CREDIT,bonus
46771022,CREDIT,recarga
46693840,CREDIT,recarga
46504231,CREDIT,recarga
46342939,CREDIT,recarga
46119182,CREDIT,recarga
46118573,CREDIT,recarga
47533904,CREDIT,recarga
46379128,CREDIT,recarga
46349571,CREDIT,recarga
47612410,CREDIT,bonus
47414038,CREDIT,bonus
46973247,CREDIT,recarga
47886122,CREDIT,recarga
47801817,CREDIT,recarga
47950029,CREDIT,recarga
47801834,CREDIT,recarga
48004784,CREDIT,recarga
48040391,CREDIT,admin
48043690,CREDIT,recarga
48041615,CREDIT,recarga
48042161,CREDIT,recarga
48045202,CREDIT,recarga
48088673,CREDIT,recarga
48092382,CREDIT,recarga
48092404,CREDIT,debito
48249937,CREDIT,bonus
48249935,CREDIT,recarga
48128088,CREDIT,recarga
48209409,CREDIT,recarga
48200769,CREDIT,recarga
48204273,CREDIT,recarga
48292778,CREDIT,recarga
48326707,CREDIT,recarga
48335283,CREDIT,bonus
48335270,CREDIT,recarga
48378969,CREDIT,bonus
48433353,CREDIT,recarga
48436878,CREDIT,recarga
48479871,CREDIT,bonus
48479869,CREDIT,recarga
48543748,CREDIT,recarga
48597661,CREDIT,recarga
48605649,CREDIT,recarga
48609377,CREDIT,recarga
48609098,CREDIT,bonus
48644882,CREDIT,bonus
48644719,CREDIT,recarga
48657331,CREDIT,bonus
48657325,CREDIT,recarga
48651557,CREDIT,recarga
48697812,CREDIT,recarga
48724176,CREDIT,recarga
48838167,CREDIT,recarga
48943321,CREDIT,recarga
48944103,CREDIT,recarga
48943526,CREDIT,recarga
48944614,CREDIT,bonus
48944611,CREDIT,recarga
48944096,CREDIT,recarga
